REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,"2016/05/31 19:00:00",10539.79,299.8,PD
NSW1,"2016/05/31 19:30:00",10207.77,289,PD
NSW1,"2016/05/31 20:00:00",9985.72,299.8,PD
NSW1,"2016/05/31 20:30:00",9728.65,281.67796,PD
NSW1,"2016/05/31 21:00:00",9510.84,116.24382,PD
NSW1,"2016/05/31 21:30:00",9181.39,121.2156,PD
NSW1,"2016/05/31 22:00:00",8832.39,54.69258,PD
NSW1,"2016/05/31 22:30:00",8763.7,299.8,PD
NSW1,"2016/05/31 23:00:00",8496,299.6,PD
NSW1,"2016/05/31 23:30:00",8362.64,135.56986,PD
NSW1,"2016/06/01 00:00:00",8249.85,126.15161,PD
NSW1,"2016/06/01 00:30:00",8139.69,299.6,PD
NSW1,"2016/06/01 01:00:00",7964.38,271.18385,PD
NSW1,"2016/06/01 01:30:00",7801.76,113.67659,PD
NSW1,"2016/06/01 02:00:00",7574.09,88.35235,PD
NSW1,"2016/06/01 02:30:00",7228.12,67.43433,PD
NSW1,"2016/06/01 03:00:00",6955.33,39.55471,PD
NSW1,"2016/06/01 03:30:00",6738.17,33.9205,PD
NSW1,"2016/06/01 04:00:00",6610.79,33.9205,PD
