REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,"2016/05/27 17:30:00",9339.89,83.71,TRADE
NSW1,"2016/05/27 18:00:00",9774.66,102.54,TRADE
NSW1,"2016/05/27 18:30:00",9752.36,103.24,TRADE
NSW1,"2016/05/27 19:00:00",9611,107.45,TRADE
NSW1,"2016/05/27 19:30:00",9409.08,102.72,TRADE
NSW1,"2016/05/27 20:00:00",9156.73,83.14,TRADE
NSW1,"2016/05/27 20:30:00",8994.63,100.58,TRADE
NSW1,"2016/05/27 21:00:00",8772.15,73.56,TRADE
NSW1,"2016/05/27 21:30:00",8553.21,72.86,TRADE
NSW1,"2016/05/27 22:00:00",8324.1,48.47,TRADE
NSW1,"2016/05/27 22:30:00",8327.88,148.99,TRADE
NSW1,"2016/05/27 23:00:00",8137.11,79.01,TRADE
NSW1,"2016/05/27 23:30:00",8132.85,119.41,TRADE
NSW1,"2016/05/28 00:00:00",8078.91,87.19,TRADE
NSW1,"2016/05/28 00:30:00",7925.91,67.97,TRADE
NSW1,"2016/05/28 01:00:00",7618.75,52.36,TRADE
NSW1,"2016/05/28 01:30:00",7318.47,50.15,TRADE
NSW1,"2016/05/28 02:00:00",7162.93,67.25,TRADE
NSW1,"2016/05/28 02:30:00",6850.85,56.93,TRADE
NSW1,"2016/05/28 03:00:00",6588.19,56.57,TRADE
NSW1,"2016/05/28 03:30:00",6373.07,43.31,TRADE
NSW1,"2016/05/28 04:00:00",6244.99,31.11,TRADE
NSW1,"2016/05/28 04:30:00",6186.71,33.15,TRADE
NSW1,"2016/05/28 05:00:00",6235.54,30.96,TRADE
NSW1,"2016/05/28 05:30:00",6349.12,36.66,TRADE
NSW1,"2016/05/28 06:00:00",6496.91,44.02,TRADE
NSW1,"2016/05/28 06:30:00",6842.61,70.08,TRADE
NSW1,"2016/05/28 07:00:00",7182.3,91.4,TRADE
NSW1,"2016/05/28 07:30:00",7525.2,93.95,TRADE
NSW1,"2016/05/28 08:00:00",8003.12,101.42,TRADE
NSW1,"2016/05/28 08:30:00",8351.41,123.61,TRADE
NSW1,"2016/05/28 09:00:00",8653.2,162.19,TRADE
NSW1,"2016/05/28 09:30:00",8975.96,299.7,TRADE
NSW1,"2016/05/28 10:00:00",8995.65,206.78,TRADE
NSW1,"2016/05/28 10:30:00",8984.43,120.18,TRADE
NSW1,"2016/05/28 11:00:00",8875.12,133.6,TRADE
NSW1,"2016/05/28 11:30:00",8735.37,163.99,TRADE
NSW1,"2016/05/28 12:00:00",8711.88,89.37,TRADE
NSW1,"2016/05/28 12:30:00",8622.65,82.93,TRADE
NSW1,"2016/05/28 13:00:00",8492.72,74.75,TRADE
NSW1,"2016/05/28 13:30:00",8408.24,91.75,TRADE
NSW1,"2016/05/28 14:00:00",8290,87.97,TRADE
NSW1,"2016/05/28 14:30:00",8147.29,80.38,TRADE
NSW1,"2016/05/28 15:00:00",8040.11,83.34,TRADE
NSW1,"2016/05/28 15:30:00",8030.55,80.91,TRADE
NSW1,"2016/05/28 16:00:00",8113.4,97.1,TRADE
NSW1,"2016/05/28 16:30:00",8389.75,127.77,TRADE
NSW1,"2016/05/28 17:00:00",8776.91,158.88,TRADE
NSW1,"2016/05/28 17:30:00",9202.26,78.81869,PD
NSW1,"2016/05/28 18:00:00",9730.96,116.76253,PD
NSW1,"2016/05/28 18:30:00",9670.36,112.90623,PD
NSW1,"2016/05/28 19:00:00",9480.28,101.91039,PD
NSW1,"2016/05/28 19:30:00",9235.83,76.51759,PD
NSW1,"2016/05/28 20:00:00",9036.59,116.61332,PD
NSW1,"2016/05/28 20:30:00",8855.4,281.81,PD
NSW1,"2016/05/28 21:00:00",8732.03,110.84484,PD
NSW1,"2016/05/28 21:30:00",8540.67,83.80695,PD
NSW1,"2016/05/28 22:00:00",8372.34,75.10742,PD
NSW1,"2016/05/28 22:30:00",8334.09,281.81,PD
NSW1,"2016/05/28 23:00:00",8159.18,109.80777,PD
NSW1,"2016/05/28 23:30:00",8060.11,108.48592,PD
NSW1,"2016/05/29 00:00:00",7876.01,79.18212,PD
NSW1,"2016/05/29 00:30:00",7664.34,105.32956,PD
NSW1,"2016/05/29 01:00:00",7416.94,68.59992,PD
NSW1,"2016/05/29 01:30:00",7205.06,33.92025,PD
NSW1,"2016/05/29 02:00:00",6987.37,33.9205,PD
NSW1,"2016/05/29 02:30:00",6698.31,33.57556,PD
NSW1,"2016/05/29 03:00:00",6478.2,32.5138,PD
NSW1,"2016/05/29 03:30:00",6329.87,31.23886,PD
NSW1,"2016/05/29 04:00:00",6245.67,31.03017,PD
NSW1,"2016/05/29 04:30:00",6214.17,30.58034,PD
NSW1,"2016/05/29 05:00:00",6217.21,29.96028,PD
NSW1,"2016/05/29 05:30:00",6294.34,26.30042,PD
NSW1,"2016/05/29 06:00:00",6394.38,26.3,PD
NSW1,"2016/05/29 06:30:00",6581.98,26.30042,PD
NSW1,"2016/05/29 07:00:00",6789.1,29.96008,PD
NSW1,"2016/05/29 07:30:00",7133.43,29.96008,PD
NSW1,"2016/05/29 08:00:00",7516.01,32.38622,PD
NSW1,"2016/05/29 08:30:00",7877.14,41.96006,PD
NSW1,"2016/05/29 09:00:00",8066.31,47.51498,PD
NSW1,"2016/05/29 09:30:00",8127.36,55.93374,PD
NSW1,"2016/05/29 10:00:00",8098.01,55.31515,PD
NSW1,"2016/05/29 10:30:00",7998.1,45.91553,PD
NSW1,"2016/05/29 11:00:00",7822.87,33.71194,PD
NSW1,"2016/05/29 11:30:00",7703.41,33.28429,PD
NSW1,"2016/05/29 12:00:00",7583.35,32.99115,PD
NSW1,"2016/05/29 12:30:00",7458.99,32.32189,PD
NSW1,"2016/05/29 13:00:00",7388.98,33.42208,PD
NSW1,"2016/05/29 13:30:00",7281.02,33.68452,PD
NSW1,"2016/05/29 14:00:00",7240.8,37.99777,PD
NSW1,"2016/05/29 14:30:00",7220.66,31.8295,PD
NSW1,"2016/05/29 15:00:00",7347.18,38.82503,PD
NSW1,"2016/05/29 15:30:00",7465.58,39.11813,PD
NSW1,"2016/05/29 16:00:00",7685.81,40.60222,PD
NSW1,"2016/05/29 16:30:00",8012.89,53.82042,PD
NSW1,"2016/05/29 17:00:00",8467.11,79.9,PD
NSW1,"2016/05/29 17:30:00",9037.28,105.06782,PD
NSW1,"2016/05/29 18:00:00",9655.83,299.8,PD
NSW1,"2016/05/29 18:30:00",9765,299.8,PD
NSW1,"2016/05/29 19:00:00",9645.57,299.8,PD
NSW1,"2016/05/29 19:30:00",9433.36,289,PD
NSW1,"2016/05/29 20:00:00",9269.42,299.8,PD
NSW1,"2016/05/29 20:30:00",9125.93,299.8,PD
NSW1,"2016/05/29 21:00:00",8979.03,299.6,PD
NSW1,"2016/05/29 21:30:00",8698.38,122.41639,PD
NSW1,"2016/05/29 22:00:00",8428.9,90.75287,PD
NSW1,"2016/05/29 22:30:00",8263.54,78.92841,PD
NSW1,"2016/05/29 23:00:00",7988.22,65.70054,PD
NSW1,"2016/05/29 23:30:00",7831.04,36.55836,PD
NSW1,"2016/05/30 00:00:00",7630.26,33.92025,PD
NSW1,"2016/05/30 00:30:00",7480.45,33.92025,PD
NSW1,"2016/05/30 01:00:00",7336.79,33.92025,PD
NSW1,"2016/05/30 01:30:00",7182.53,33.91,PD
NSW1,"2016/05/30 02:00:00",7018.16,32.6077,PD
